OBJETIVOS,ACCION,REFERENTE,COBERTURA,FRECUENCIA,PROFUNDIDAD
"La escuela construye condiciones para personalizar el aprendizaje, reconociendo y acompañando la singularidad de cada estudiante en su trayectoria","Se ha implementado un modelo propio de plan personal que registra metas, avances y reflexiones de cada estudiante.",VIROLAI,"Incipiente: algunos alumnos / proyectos piloto.
En desarrollo: solo generación tractor o parte de ella.
Avanzado: toda la escuela, aunque con diferencias entre docentes.
Consolidado: toda la escuela de manera articulada.","Incipiente: una vez al año (al inicio).
En desarrollo: al inicio y cierre de semestre.
Avanzado: revisiones trimestrales o mensuales.
Consolidado: revisiones sistemáticas integradas en la vida escolar.","Incipiente: registro superficial (metas genéricas).
En desarrollo: incluye algunas reflexiones y evidencias de aprendizaje.
Avanzado: fomenta autonomía, autorregulación y metacognición.
Consolidado: conecta con el proyecto vital, involucra familia y comunidad."
,"¿Tienen un modelo propio de plan personal implementado? ¿Qué tipo de elementos recoge el plan (metas, evidencias, reflexiones, otros)?",,"¿En qué niveles o cursos se está implementando actualmente el plan personal? ¿Se aplica solo en la generación tractor o en todos los niveles? ¿Todos los docentes lo utilizan del mismo modo, o hay diferencias?",¿Con qué frecuencia revisan el plan personal de los estudiantes? ¿Existen momentos sistemáticos de seguimiento a lo largo del curso?,¿El plan personal se conecta con proyectos vitales del estudiante e involucra a las familias? ¿El plan personal recoge metas de diferentes ámbitos (más de 3)? ¿Incluye autoevaluación del alumno?¿Incluye participación de las familias?
La escuela estructura un sistema de tutoría personalizada que garantiza entrevistas individuales periódicas para acompañar el desarrollo integral de cada estudiante.,"El tutor realiza entrevistas individuales con los estudiantes, siguiendo una pauta o estructura común en la escuela.",VIROLAI,"Incipiente: existe la idea de implementar entrevistas individuales, pero aún no se ha puesto en práctica.
En desarrollo: algunos cursos o un ciclo piloto realizan entrevistas individuales.
Avanzado: toda la escuela lo implementa, aunque con diferencias en calidad o sistematicidad entre cursos.
Consolidado: toda la escuela lo aplica de manera articulada y coherente, con un sistema común.","Incipiente: las entrevistas ocurren esporádicamente, cuando surge un problema.
En desarrollo: se realizan al menos una vez al año (ej. inicio de curso).
Avanzado: se realizan dos o tres veces al año, en momentos clave (inicio, mitad y/o cierre de curso).
Consolidado: existe una planificación clara con entrevistas periódicas a lo largo del curso, revisadas y registradas en un sistema común.","Incipiente: las entrevistas se centran en rendimiento académico y conducta.
En desarrollo: incluyen algunos aspectos personales (intereses, motivaciones) pero sin estructura clara.
Avanzado: abordan dimensiones académicas, personales y relacionales, conectadas con el plan personal o portafolio.
Consolidado: las entrevistas se basan en una pauta común que integra lo académico, personal, relacional y vocacional; los acuerdos se registran y dan continuidad en el tiempo, involucrando cuando corresponde a la familia."
,"¿Existe en la escuela la intención de implementar entrevistas individuales entre tutores y estudiantes?
¿Los tutores que realizan entrevistas?",,¿En qué cursos o niveles se realizan actualmente entrevistas individuales? ¿Todos los tutores lo realizan o depende de cada docente?,"¿Con qué frecuencia se realizan estas entrevistas individuales? ¿Se hacen solo cuando surge un problema, una vez al año, o tienen momentos planificados (inicio, mitad, cierre de curso)? ¿Existe una planificación clara que asegure la periodicidad para todos los estudiantes? ¿Existe un sistema de control que asegure que todas las entrevistas se realizan?","¿Qué temas se abordan en las entrevistas: solo lo académico y conductual, o también aspectos personales y relacionales? ¿Se vinculan estas entrevistas con el plan personal o con un portafolio de evidencias del estudiante? ¿Se registran los acuerdos o reflexiones que surgen en las entrevistas para darles seguimiento? ¿En algunos casos se involucra también a la familia en el proceso de tutoría?"
"La escuela forma personas capaces de reconocer su singularidad, tomar decisiones conscientes sobre su aprendizaje y su vida, y vincular lo escolar con su proyecto vital",Los estudiantes realizan proyectos de autoconocimiento estructurados por sus docentes,VIROLAI,"Incipiente: algunos alumnos / proyectos piloto.
En desarrollo: solo generación tractor o parte de ella.
Avanzado: toda la escuela, aunque con diferencias entre docentes.
Consolidado: toda la escuela de manera articulada.","Incipiente: actividades aisladas o esporádicas (una dinámica puntual en tutoría o en alguna asignatura).
En desarrollo: se realiza una actividad o proyecto breve de autoconocimiento en un curso o semestre, sin conexión con otros procesos escolares.
Avanzado: se realiza en los primeros meses del curso y de forma articulada con la redacción de objetivos del plan personal.
Consolidado: además de la realización en los primeros meses, se generan espacios de retroalimentación o devoluciones al cierre del curso para revisar aprendizajes de autoconocimiento y conectarlos con nuevas metas.","Incipiente: actividades simples y aisladas (gustos, intereses, fortalezas), sin conexión curricular.
En desarrollo: proyectos con cierta reflexión sobre aprendizajes e intereses, organizados por tutoría o un área específica, sin continuidad entre cursos.
Avanzado: existe una progresión organizada por el equipo docente, con diferentes proyectos de autoconocimiento en cada curso, adecuados para la edad. Se vincula con el plan personal, pero se trabaja principalmente en tutoría.
Consolidado: el autoconocimiento se integra de manera transversal en distintas asignaturas y experiencias escolares (lengua, ciencias, artes, etc.), con un hilo progresivo entre cursos. Se conecta al plan personal y en algunos momentos involucra también a las familias."
,¿Existen proyectos de autoconocimiento diseñados por los docentes para los estudiantes?,,"¿En qué niveles o cursos se realizan actualmente proyectos de autoconocimiento?
¿Se concentran solo en la generación tractor o en todos los niveles?
¿Todos los docentes los aplican de forma similar, o varía según el curso o profesor?","¿Con qué periodicidad se realizan los proyectos de autoconocimiento? ¿En qué momento del año se realizan?
¿Se trata de actividades puntuales, proyectos anuales o instancias con inicio y cierre?","¿Qué tipo de actividades incluyen (gustos, fortalezas, intereses, aprendizajes, metas…)?
¿Existe una progresión pensada a lo largo de los cursos, con distintos objetivos según la edad?
¿Se trabaja únicamente en tutoría o también en distintas asignaturas?
¿Se conecta con el plan personal del estudiante?
¿En algún momento se involucra a las familias en el proceso o en la devolución?"
"La escuela diseña experiencias de aprendizaje inclusivas, asegurando que cada estudiante pueda participar, aprender y desarrollarse a partir de su singularidad, en el marco del aula común.",Los docentes diseñan sus experiencias de aprendizaje utilizando los principios del Diseño Universal para el Aprendizaje (DUA).,ANGELETA FERRER,"Incipiente: algunos docentes aplican principios de DUA en experiencias aisladas.
En desarrollo: un ciclo o grupo de docentes planifica con DUA en algunas áreas.
Avanzado: la mayoría de docentes diseñan con DUA, aunque con diferencias en la calidad y la profundidad.
Consolidado: toda la escuela utiliza sistemáticamente DUA en la planificación de experiencias de aprendizaje.","Incipiente: se realizan adaptaciones solo cuando aparece un estudiante con necesidad específica.
En desarrollo: se planifica con DUA en algunas experiencias del curso.
Avanzado: se incluyen principios de DUA en la mayoría de las experiencias del curso.
Consolidado: el diseño con DUA está integrado en la planificación anual y se revisa de forma sistemática.","Incipiente: se hacen ajustes mínimos (por ejemplo, materiales adaptados).
En desarrollo: se ofrecen algunas alternativas en representación, acción y motivación.
Avanzado: las experiencias contemplan múltiples opciones de acceso y expresión, favoreciendo la participación activa de la mayoría de estudiantes.
Consolidado: las experiencias están diseñadas desde el inicio con plena diversidad de opciones, promoviendo autonomía, autorregulación y aprendizajes significativos para todos."
,¿Los docentes planifican sus clases teniendo en cuenta los principios del Diseño Universal para el Aprendizaje (DUA)? ¿Podrían aportar un ejemplo de una experiencia o unidad que haya sido diseñada con DUA?,,"¿Qué porcentaje de docentes están utilizando DUA en su planificación? ¿Está concentrado en algunos niveles o asignaturas, o se da en toda la escuela? ¿Existen diferencias significativas entre docentes o equipos en cuanto a cómo lo aplican?","¿Se diseñan con DUA solo algunas experiencias puntuales o de manera sistemática? ¿Se incluyen principios de DUA en la mayoría de las planificaciones del curso, o en casos específicos? ¿El diseño con DUA forma parte de la planificación anual y se revisa periódicamente?","¿Las adaptaciones se hacen solo cuando aparece un estudiante con necesidad específica, o se planifican desde el inicio para todos? ¿Se ofrecen alternativas en representación, acción/expresión y motivación en las experiencias de aprendizaje? ¿El DUA permite que los estudiantes tengan opciones para acceder a los contenidos, expresar lo aprendido y mantener la motivación? ¿El enfoque fomenta autonomía, autorregulación y aprendizajes significativos para todos?"
,"El tutor comparte información relevante sobre la singularidad de cada estudiante con el resto del equipo docente, coordinando estrategias conjuntas de acompañamiento.",VIROLAI,"Incipiente: el tutor tiene información de algunos alumnos, pero no la comparte con el equipo.
En desarrollo: el tutor comparte información solo con algunos docentes clave o en casos puntuales.
Avanzado: el tutor comparte información con la mayoría de docentes del curso, aunque sin un protocolo común.
Consolidado: existe un sistema articulado para que la información fluya entre tutor y docentes, garantizando una mirada común sobre todos los estudiantes.","Incipiente: los intercambios ocurren de manera informal y esporádica.
En desarrollo: se conversa sobre algunos alumnos en reuniones ocasionales.
Avanzado: hay reuniones periódicas de coordinación para compartir información y estrategias sobre los alumnos.
Consolidado: existen rutinas sistemáticas de coordinación (ej. reuniones mensuales de equipo docente) donde se revisa a cada estudiante y se actualizan acuerdos de acompañamiento.","Incipiente: la información que se comparte es básica (rendimiento, conducta).
En desarrollo: se incluyen algunos aspectos personales y de contexto, aunque sin continuidad.
Avanzado: se construye una mirada más amplia (académica, personal, relacional), vinculada al plan personal y a estrategias inclusivas.
Consolidado: la coordinación docente integra una visión integral del estudiante (académica, socioemocional y relacional), y las decisiones de acompañamiento se toman de forma corresponsable entre tutor, docentes y, cuando corresponde, familia."
,¿El tutor comparte información sobre las singularidades de los alumnos con el resto del equipo docente? ¿Cómo lo hace?,,"¿En qué medida esta práctica está instalada en la escuela? ¿Todos los tutores lo hacen, o solo algunos? ¿Pasa en todos los niveles/cursos o en casos puntuales?",¿Con qué frecuencia se coordinan los tutores con el resto del equipo docente? ¿Existen reuniones formales para compartir información sobre los alumnos o se da solo de manera informal? ¿Tienen rutinas de revisión periódica de cada curso/grupo?,"¿Qué tipo de información se comparte sobre los estudiantes (solo académica, también personal/relacional)? ¿Se conecta esa información con el plan personal o con estrategias de inclusión en el aula? ¿Las decisiones de acompañamiento se toman de forma individual (por el tutor) o en conjunto con el equipo docente?"
,El equipo de orientación escolar trabaja de manera articulada con docentes y tutores para favorecer la inclusión de los estudiantes en el aula común.,SADAKO,"Incipiente: el equipo de orientación trabaja de forma aislada, sin coordinación con docentes ni tutores.
En desarrollo: colabora en casos puntuales o con algunos docentes/tutores.
Avanzado: participa en la mayoría de los casos, aunque sin una estructura de coordinación establecida.
Consolidado: está plenamente integrado al trabajo docente y tutorial, con protocolos claros de colaboración para todos los estudiantes.","Incipiente: intervenciones esporádicas y reactivas, solo cuando surge un problema grave.
En desarrollo: reuniones ocasionales con tutores/docentes para revisar algunos casos.
Avanzado: reuniones periódicas con tutores y docentes para coordinar estrategias.
Consolidado: participación sistemática en instancias de planificación, seguimiento y evaluación de la inclusión de todos los estudiantes.","Incipiente: el foco está en retirar al alumno del aula para trabajar de manera individual.
En desarrollo: combina apoyos dentro y fuera del aula, pero predomina el trabajo individualizado fuera de clase.
Avanzado: prioriza la permanencia del alumno en el aula común, ofreciendo apoyos dentro del contexto escolar.
Consolidado: la estrategia central es que el estudiante participe plenamente en el aula común, con apoyos flexibles y coordinados entre orientación, tutores, docentes y, cuando corresponde, familia."
,"¿Cómo se articula el trabajo del equipo de orientación con tutores y docentes? ¿El equipo de orientación participa en la planificación de experiencias inclusivas, o solo interviene en casos puntuales?",,"¿En qué niveles/cursos está presente la acción del equipo de orientación? ¿Trabajan de manera transversal con toda la escuela o solo con algunos docentes/tutores? ¿En la práctica, todo el equipo docente se coordina con orientación, o son pocos los que lo hacen?",¿Con qué frecuencia se reúne el equipo de orientación con tutores y docentes? ¿Las reuniones son reactivas (cuando surge un problema) o sistemáticas (planificadas en el calendario escolar)? ¿Existen rutinas de seguimiento periódico para todos los estudiantes con necesidades específicas?,"Cuando intervienen, ¿la estrategia principal es que el estudiante salga del aula para recibir apoyo individual, o se prioriza que permanezca dentro del aula con apoyos? ¿El equipo de orientación ofrece acompañamiento dentro del aula, trabajando junto al docente/tutor? ¿Las decisiones de inclusión se toman en conjunto con el tutor, los docentes y, en algunos casos, la familia? ¿Qué peso tiene la mirada del equipo de orientación en las decisiones de la escuela sobre inclusión?"
"La escuela utiliza el espacio físico como un medio para visibilizar la singularidad de cada estudiante y de la comunidad educativa en su conjunto, favoreciendo el sentido de pertenencia y la expresión personal.","Exposición de producciones individuales o grupales de cada alumno/a
(murales, galerías, pasillos temáticos)",OCTAVIO PAZ / EL PUIG,"Incipiente: exposiciones ocasionales en algunos cursos.
En desarrollo: varios cursos exponen, pero sin continuidad.
Avanzado: todos los cursos exponen al menos una vez al año.
Consolidado: exposiciones sistemáticas que involucran a todos los estudiantes.","Incipiente: actividades aisladas y esporádicas.
En desarrollo: un par de veces al año.
Avanzado: frecuencia trimestral o en hitos relevantes.
Consolidado: exposiciones dinámicas y renovadas de manera planificada durante todo el curso ","Incipiente: se muestran productos terminados.
En desarrollo: se presentan diferentes tipos de trabajos, sin explicación.
Avanzado: se incluyen procesos, reflexiones y producciones diversas.
Consolidado: los alumnos participan en la curaduría y las exposiciones muestran tanto productos como procesos de aprendizaje, con sentido pedagógico y comunitario. Las producciones tienen por objetivo el sentido de pertenencia. "
,¿Se exponen producciones singulares del alumnado y/o comunidad educativa en la escuela de manera visible? ,,"¿Qué cursos o niveles participan actualmente en las exposiciones?
¿Todos los alumnos tienen la oportunidad de mostrar sus trabajos, o solo algunos?
¿La práctica está extendida a toda la escuela o concentrada en ciertos cursos/asignaturas?","¿Con qué frecuencia se realizan exposiciones de producciones?
¿Se trata de actividades puntuales, anuales o con una periodicidad más clara (ej. trimestral)?
¿Los espacios de exposición se renuevan durante el año escolar?","¿Qué tipo de producciones se exponen: solo productos finales, o también procesos y reflexiones de aprendizaje?
¿Se muestran distintos tipos de trabajos (escritos, artísticos, proyectos, investigaciones)?
¿Los alumnos participan en la selección/curaduría de lo que se expone?
¿Las exposiciones buscan un sentido pedagógico y comunitario o son más bien decorativas?"
,"Espacios de identidad grupal
(panel por curso con fotos, símbolos, frases, proyectos)",LES VINYES / EL PUIG,"Incipiente: algunos grupos crean su espacio de manera espontánea.
En desarrollo: un ciclo o varios cursos tienen su espacio.
Avanzado: todos los cursos lo implementan, aunque de manera desigual.
Consolidado: cada curso/grupo cuenta con un espacio estable, articulado al proyecto institucional.","Incipiente: solo al inicio del curso.
En desarrollo: inicio y cierre del curso.
Avanzado: actualización periódica durante el curso.
Consolidado: espacios vivos y renovados constantemente por el grupo.","Incipiente: decorativo, con pocos aportes.
En desarrollo: refleja algunos elementos de la identidad del grupo.
Avanzado: recoge símbolos, frases y proyectos representativos.
Consolidado: expresa identidad, vínculos y proyectos del grupo, conectado al sentido institucional de la escuela."
,"¿Los alumnos tienen algun rol en el diseño de los espacios educativos del centro? ¿Participan en la decisión de cómo organizar su clase, sus baños, los pasillos, como señalizar su aula?",,"¿Qué cursos o niveles cuentan hoy con un espacio de identidad propio?
¿Esto ocurre en toda la escuela o solo en algunos ciclos/cursos?
¿Es una práctica institucionalizada o depende de la iniciativa de algunos docentes/grupos?","¿Con qué frecuencia se realizan exposiciones de producciones?
¿Se trata de actividades puntuales, anuales o con una periodicidad más clara (ej. trimestral)?
¿Los espacios de exposición se renuevan durante el año escolar?","¿Qué tipo de producciones se exponen: solo productos finales, o también procesos y reflexiones de aprendizaje?
¿Se muestran distintos tipos de trabajos (escritos, artísticos, proyectos, investigaciones)?
¿Los alumnos participan en la selección/curaduría de lo que se expone?
¿Las exposiciones buscan un sentido pedagógico y comunitario o son más bien decorativas?"
"La escuela promueve que los estudiantes tomen decisiones sobre su trayectoria de aprendizaje, ofreciendo opciones que respondan a sus intereses, motivaciones y estilos, como parte de un proceso de autonomía y autorregulación.",Elección de ambientes o espacios de aprendizaje,"OCTAVIO PAZ
LA MAQUINISTA
SADAKO","Incipiente: existe la intención de crear espacios diferenciados, pero aún no se implementa la libre elección de los alumnos.
En desarrollo: algunos cursos o niveles piloto permiten que los alumnos elijan entre 2 o 3 espacios.
Avanzado: todos los cursos de infantil y primeros años de básica funcionan con ambientes diferenciados, aunque con distintos grados de autonomía.
Consolidado: toda la etapa tiene implementado un sistema estable de ambientes con autonomía progresiva, donde la elección del alumno está integrada a la planificación pedagógica.","Incipiente: la elección aún está marcada por el docente. 
En desarrollo: los alumnos eligen ambientes 1 o 2 veces por mes. 
Avanzado: la elección ocurre de manera diaria o frecuente dentro del horario regular.
Consolidado: la elección es una dinámica cotidiana de aprendizaje, integrada a la rutina diaria y acompañada por docentes en roles rotativos.","Incipiente: la elección es guiada o simbólica, sin un propósito claro de aprendizaje.
En desarrollo: los alumnos eligen según interés, pero sin reflexionar sobre el porqué.
Avanzado: la elección se vincula a intereses o desafíos personales y se acompaña con momentos de reflexión sobre el proceso.
Consolidado: los alumnos eligen con un instrumento claro (anotar su nombre en alguna pizarra o panel), planifican y revisan sus decisiones como parte del aprendizaje metacognitivo; la elección se conecta con el plan personal, asambleas de cierre de los ambientes o diarios de aprendizaje. "
,"¿Los alumnos tienen la posibilidad de elegir entre distintos ambientes o espacios de aprendizaje?
¿Cómo se organiza esa elección: libre, rotativa, guiada por el docente?
¿Qué tipo de propuestas o materiales hay en cada ambiente?",,"¿En qué niveles o cursos se implementa actualmente esta dinámica de elección de ambientes?
¿Está presente en toda la etapa de infantil y primeros años de básica o solo en algunos cursos piloto?
¿Es una práctica sistemática en la escuela o depende del docente que la implemente?","¿Con qué frecuencia se da la posibilidad de elegir ambientes?
¿Ocurre todos los días, algunas veces por semana, o en momentos puntuales del curso?
¿Forma parte de la rutina habitual de trabajo o es una experiencia ocasional?","¿Los alumnos eligen según su interés, o también reflexionan sobre por qué eligen un ambiente y qué aprenden allí?
¿El docente acompaña la elección ayudando a conectar intereses con aprendizajes?
¿Se registran o revisan las decisiones de los alumnos (por ejemplo, en el plan personal o portafolio)?
¿Los alumnos muestran capacidad de planificar o revisar sus elecciones con autonomía progresiva?"
,"En primaria media (a partir de 3º), los alumnos eligen entre distintas cajas o propuestas de aprendizaje que abordan contenidos y competencias de forma flexible.","OCTAVIO PAZ
LA MAQUINISTA","Incipiente: existe la idea de trabajar con cajas, pero aún no se han implementado o solo hay una o dos disponibles.
En desarrollo: algunos cursos o docentes usan cajas, pero los alumnos tienen pocas opciones de elección.
Avanzado: la mayoría de los cursos dispone de un conjunto variado de cajas (5–10 por ciclo), aunque no todas garantizan opciones abiertas.
Consolidado: todos los cursos cuentan con un banco amplio y diverso de cajas (más de 10), disponibles de forma organizada para todos los alumnos.","Incipiente: uso esporádico, en actividades puntuales o proyectos aislados.
En desarrollo: se utilizan en algunos momentos del trimestre.
Avanzado: se incorporan con regularidad semanal o quincenal.
Consolidado: son parte estable de la dinámica de aula, con tiempos reservados en el horario semanal.","Incipiente: las cajas tienen actividades cerradas o una única respuesta correcta; la cantidad es muy limitada.
En desarrollo: hay más cajas, pero las propuestas siguen siendo guiadas y con soluciones predefinidas.
Avanzado: las cajas ofrecen diversidad de temas y permiten diferentes caminos o productos finales, con cierta autonomía del alumno.
Consolidado: hay abundancia y diversidad de cajas que integran proyectos y desafíos abiertos; cada alumno puede elegir qué caja hacer, cómo resolverla y qué producto generar, ejerciendo una verdadera autoría sobre su aprendizaje."
,"¿Los alumnos pueden elegir entre diferentes cajas o propuestas de aprendizaje?
¿Qué tipo de tareas o desafíos contienen las cajas (actividades cerradas, proyectos, retos abiertos)?
¿Quién diseña las cajas: cada docente, un equipo de ciclo o la escuela en conjunto?",,"¿En qué niveles o cursos se están utilizando las cajas de aprendizaje?
¿Está implementado en toda la primaria media o solo en algunos cursos o áreas?
¿Todos los alumnos tienen acceso a las cajas, o solo algunos grupos piloto?","¿Con qué frecuencia trabajan los alumnos con cajas de aprendizaje?
¿Es una experiencia puntual (una vez por trimestre), o parte regular del horario semanal?
¿Las cajas se integran en la planificación habitual de las clases o se usan en momentos especiales?","¿Cuántas cajas están actualmente disponibles para los alumnos en cada nivel o ciclo?
¿Los alumnos tienen varias opciones reales para elegir, o las cajas son pocas y similares?
¿Las cajas permiten diferentes formas de resolver o productos finales, o tienen una única respuesta correcta?
¿Los alumnos pueden decidir no solo qué caja hacer, sino también cómo abordarla y qué producto generar?
¿Las cajas promueven autonomía y reflexión sobre las elecciones que hacen los alumnos?"
,"Los estudiantes de secundaria eligen y desarrollan proyectos personales de aprendizaje, dentro de un tiempo determinado y con acompañamiento docente.",INSTITUT ANGELETA FERRER,"Incipiente: algunos docentes o cursos han probado experiencias piloto de proyectos personales.
En desarrollo: un nivel o ciclo trabaja con proyectos personales durante un periodo del año.
Avanzado: todos los niveles de secundaria implementan proyectos personales, aunque con diferencias entre cursos o docentes.
Consolidado: toda la etapa de secundaria desarrolla proyectos personales como práctica institucional, articulada con el plan personal y con acompañamiento sistemático.","Incipiente: proyectos puntuales o experimentales, sin continuidad.
En desarrollo: se realizan una vez al año, durante un bloque o trimestre.
Avanzado: se llevan a cabo dos veces al año o en periodos definidos (semestres, trimestres).
Consolidado: los proyectos personales forman parte estructural del calendario académico, con tiempos y espacios estables en el horario de los alumnos.","Incipiente: los proyectos están muy guiados por el docente, con temas predefinidos y escasa autonomía.
En desarrollo: los alumnos eligen tema y producto, pero siguen una estructura rígida o común para todos.
Avanzado: los alumnos eligen tema, propósito y producto; cuentan con tutoría individual, planificación semanal y criterios de evaluación formativa.
Consolidado: los proyectos se integran con el plan personal; los alumnos se comprometen con metas de trabajo semanales (planifican los lunes y revisan los viernes), desarrollan autorregulación y reflexión metacognitiva; el acompañamiento docente es sostenido y las presentaciones finales tienen valor social o comunitario."
,"¿Los alumnos desarrollan proyectos personales de aprendizaje en secundaria?
¿Estos proyectos surgen de los intereses de los estudiantes o son propuestos por los docentes?
¿Cómo se organiza el proceso: hay acompañamiento, materiales, espacios y tiempos definidos?",,"¿En qué niveles o cursos se implementan actualmente los proyectos personales?
¿Es una práctica generalizada o se concentra en un curso o grupo piloto?
¿Todos los estudiantes de secundaria tienen la oportunidad de realizar un proyecto personal cada año?","¿Con qué periodicidad se realizan los proyectos personales: una vez al año, por semestre, o de manera continua?
¿Los tiempos de trabajo en el proyecto están integrados en el horario regular?
¿Hay momentos institucionalizados de presentación o cierre de los proyectos?","¿Los alumnos eligen el tema, el propósito y el producto de su proyecto?
¿Los proyectos incluyen planificación y revisión periódica de metas (por ejemplo, definir objetivos los lunes y revisar avances los viernes)?
¿Se articulan con el plan personal del alumno o con otras herramientas de seguimiento individual?
¿Qué tipo de acompañamiento reciben los estudiantes: tutorías, guías, coevaluación?
¿Las presentaciones finales tienen un sentido comunitario o social (muestras, ferias, exposiciones abiertas)?
¿Los alumnos reflexionan sobre su proceso y aprendizajes (metacognición) como parte del cierre del proyecto?"